x,HP:0020125,HP:0032106,HP:0030845,HP:0011222,HP:0005045,HP:0006470,HP:0030887,HP:0031380,HP:0011837,HP:0031407,HP:0031604,HP:0000996
HP:0020125,1,0.94,0.84,0.48,0.07,0.13,0.13,0.13,0.02,0.13,0.32,0.48
HP:0032106,0.94,1,0.84,0.48,0.07,0.13,0.13,0.13,0.02,0.13,0.32,0.48
HP:0030845,0.84,0.84,1,0.48,0.13,0.19,0.19,0.19,0.07,0.19,0.32,0.48
HP:0011222,0.48,0.48,0.48,1,0.19,0.25,0.25,0.25,0.13,0.25,0.49,0.66
HP:0005045,0.07,0.07,0.13,0.19,1,0.85,0.25,0.25,0.13,0.25,0.25,0.19
HP:0006470,0.13,0.13,0.19,0.25,0.85,1,0.32,0.32,0.19,0.32,0.32,0.25
HP:0030887,0.13,0.13,0.19,0.25,0.25,0.32,1,0.88,0.56,0.32,0.32,0.25
HP:0031380,0.13,0.13,0.19,0.25,0.25,0.32,0.88,1,0.56,0.32,0.32,0.25
HP:0011837,0.02,0.02,0.07,0.13,0.13,0.19,0.56,0.56,1,0.19,0.19,0.13
HP:0031407,0.13,0.13,0.19,0.25,0.25,0.32,0.32,0.32,0.19,1,0.32,0.25
HP:0031604,0.32,0.32,0.32,0.49,0.25,0.32,0.32,0.32,0.19,0.32,1,0.49
HP:0000996,0.48,0.48,0.48,0.66,0.19,0.25,0.25,0.25,0.13,0.25,0.49,1
