x,PU0028,PU0025,PU0032,HE0311,HE0095,HE0247,BO0103,BO0104,BO0198,EP0028,EP0029,EP0005
PU0028,1,0.95,1,0.92,0.92,0.92,0.92,0.96,0.92,0.92,0.92,0.98
PU0025,0.95,1,1,0.92,0.92,0.92,0.92,0.96,0.92,0.92,0.92,0.98
PU0032,1,1,1,0.92,0.92,0.92,0.92,0.96,0.92,0.92,0.92,0.98
HE0311,0.92,0.92,0.92,1,1,1,0.92,0.96,0.92,0.92,0.92,0.98
HE0095,0.92,0.92,0.92,1,1,1,0.92,0.96,0.92,0.92,0.92,0.98
HE0247,0.92,0.92,0.92,1,1,1,0.92,0.96,0.92,0.92,0.92,0.98
BO0103,0.92,0.92,0.92,0.92,0.92,0.92,1,0.99,1,0.92,0.92,0.98
BO0104,0.96,0.96,0.96,0.96,0.96,0.96,0.99,1,1.04,0.96,0.96,1.03
BO0198,0.92,0.92,0.92,0.92,0.92,0.92,1,1.04,1,0.92,0.92,0.98
EP0028,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.96,0.92,1,0.87,1.07
EP0029,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.96,0.92,0.87,1,1.07
EP0005,0.98,0.98,0.98,0.98,0.98,0.98,0.98,1.03,0.98,1.07,1.07,1
