x,PU0028,PU0025,PU0032,HE0311,HE0095,HE0247,BO0103,BO0104,BO0198,EP0028,EP0029,EP0005
PU0028,1,0.25,0.17,0.1,0.1,0.11,0.1,0.1,0.11,0.11,0.11,0.12
PU0025,0.25,1,0.2,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.12,0.14
PU0032,0.17,0.2,1,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.12,0.14
HE0311,0.1,0.11,0.11,1,0.14,0.17,0.09,0.09,0.1,0.1,0.1,0.11
HE0095,0.1,0.11,0.11,0.14,1,0.17,0.09,0.09,0.1,0.1,0.1,0.11
HE0247,0.11,0.12,0.12,0.17,0.17,1,0.1,0.1,0.11,0.11,0.11,0.12
BO0103,0.1,0.11,0.11,0.09,0.09,0.1,1,0.33,0.2,0.1,0.1,0.11
BO0104,0.1,0.11,0.11,0.09,0.09,0.1,0.33,1,0.2,0.1,0.1,0.11
BO0198,0.11,0.12,0.12,0.1,0.1,0.11,0.2,0.2,1,0.11,0.11,0.12
EP0028,0.11,0.12,0.12,0.1,0.1,0.11,0.1,0.1,0.11,1,0.33,0.17
EP0029,0.11,0.12,0.12,0.1,0.1,0.11,0.1,0.1,0.11,0.33,1,0.17
EP0005,0.12,0.14,0.14,0.11,0.11,0.12,0.11,0.11,0.12,0.17,0.17,1
