x,EP0007,EP0002,EP0006,PU0028,PU0025,PU0032,BO0103,BO0104,BO0198,HE0229,HE0095,HE0247
EP0007,0.897225077,0.897225077,0.897225077,0.818117386,0.818117386,0.818117386,0.818117386,0.853687708,0.818117386,0.818117386,0.818117386,0.818117386
EP0002,0.897225077,0.897225077,0.897225077,0.818117386,0.818117386,0.818117386,0.818117386,0.853687708,0.818117386,0.818117386,0.818117386,0.818117386
EP0006,0.897225077,0.897225077,0.897225077,0.818117386,0.818117386,0.818117386,0.818117386,0.853687708,0.818117386,0.818117386,0.818117386,0.818117386
PU0028,0.818117386,0.818117386,0.818117386,0.897225077,0.897225077,0.897225077,0.818117386,0.853687708,0.818117386,0.818117386,0.818117386,0.818117386
PU0025,0.818117386,0.818117386,0.818117386,0.897225077,0.897225077,0.897225077,0.818117386,0.853687708,0.818117386,0.818117386,0.818117386,0.818117386
PU0032,0.818117386,0.818117386,0.818117386,0.897225077,0.897225077,0.897225077,0.818117386,0.853687708,0.818117386,0.818117386,0.818117386,0.818117386
BO0103,0.818117386,0.818117386,0.818117386,0.818117386,0.818117386,0.818117386,0.897225077,0.93311408,0.897225077,0.818117386,0.818117386,0.818117386
BO0104,0.853687708,0.853687708,0.853687708,0.853687708,0.853687708,0.853687708,0.93311408,0.977975334,0.93311408,0.853687708,0.853687708,0.853687708
BO0198,0.818117386,0.818117386,0.818117386,0.818117386,0.818117386,0.818117386,0.897225077,0.93311408,0.897225077,0.818117386,0.818117386,0.818117386
HE0229,0.818117386,0.818117386,0.818117386,0.818117386,0.818117386,0.818117386,0.818117386,0.853687708,0.818117386,0.897225077,0.897225077,0.897225077
HE0095,0.818117386,0.818117386,0.818117386,0.818117386,0.818117386,0.818117386,0.818117386,0.853687708,0.818117386,0.897225077,0.897225077,0.897225077
HE0247,0.818117386,0.818117386,0.818117386,0.818117386,0.818117386,0.818117386,0.818117386,0.853687708,0.818117386,0.897225077,0.897225077,0.897225077
