x,EP0007,EP0002,EP0006,PU0028,PU0025,PU0032,BO0103,BO0104,BO0198,HE0229,HE0095,HE0247
EP0007,1,0.8,0.93,0.29,0.38,0.38,0.21,0.21,0.29,0.29,0.21,0.29
EP0002,0.8,1,0.8,0.38,0.47,0.47,0.29,0.29,0.38,0.38,0.29,0.38
EP0006,0.93,0.8,1,0.29,0.38,0.38,0.21,0.21,0.29,0.29,0.21,0.29
PU0028,0.29,0.38,0.29,1,0.87,0.66,0.21,0.21,0.29,0.29,0.21,0.29
PU0025,0.38,0.47,0.38,0.87,1,0.78,0.29,0.29,0.38,0.38,0.29,0.38
PU0032,0.38,0.47,0.38,0.66,0.78,1,0.29,0.29,0.38,0.38,0.29,0.38
BO0103,0.21,0.29,0.21,0.21,0.29,0.29,1,0.96,0.66,0.21,0.14,0.21
BO0104,0.21,0.29,0.21,0.21,0.29,0.29,0.96,1,0.66,0.21,0.14,0.21
BO0198,0.29,0.38,0.29,0.29,0.38,0.38,0.66,0.66,1,0.29,0.21,0.29
HE0229,0.29,0.38,0.29,0.29,0.38,0.38,0.21,0.21,0.29,1,0.66,0.91
HE0095,0.21,0.29,0.21,0.21,0.29,0.29,0.14,0.14,0.21,0.66,1,0.66
HE0247,0.29,0.38,0.29,0.29,0.38,0.38,0.21,0.21,0.29,0.91,0.66,1
