x,UF0925,UF0915,UF0870,UF3081,UF3067,UF3068,UF0906,UF5715,UF1036,UF0954,UF0949,UF0953
UF0925,0.897225077,0.897225077,0.897225077,0.84806867,0.84806867,0.84806867,0.897225077,0.897225077,0.897225077,0.897225077,0.897225077,0.897225077
UF0915,0.897225077,0.897225077,0.897225077,0.84806867,0.84806867,0.84806867,0.897225077,0.897225077,0.897225077,0.897225077,0.897225077,0.897225077
UF0870,0.897225077,0.897225077,0.897225077,0.84806867,0.84806867,0.84806867,0.897225077,0.897225077,0.897225077,0.897225077,0.897225077,0.897225077
UF3081,0.84806867,0.84806867,0.84806867,0.897225077,0.897225077,0.897225077,0.84806867,0.84806867,0.84806867,0.84806867,0.84806867,0.84806867
UF3067,0.84806867,0.84806867,0.84806867,0.897225077,0.897225077,0.897225077,0.84806867,0.84806867,0.84806867,0.84806867,0.84806867,0.84806867
UF3068,0.84806867,0.84806867,0.84806867,0.897225077,0.897225077,0.897225077,0.84806867,0.84806867,0.84806867,0.84806867,0.84806867,0.84806867
UF0906,0.897225077,0.897225077,0.897225077,0.84806867,0.84806867,0.84806867,0.897225077,0.897225077,0.897225077,0.897225077,0.897225077,0.897225077
UF5715,0.897225077,0.897225077,0.897225077,0.84806867,0.84806867,0.84806867,0.897225077,0.897225077,0.897225077,0.897225077,0.897225077,0.897225077
UF1036,0.897225077,0.897225077,0.897225077,0.84806867,0.84806867,0.84806867,0.897225077,0.897225077,0.897225077,0.897225077,0.897225077,0.897225077
UF0954,0.897225077,0.897225077,0.897225077,0.84806867,0.84806867,0.84806867,0.897225077,0.897225077,0.897225077,0.897225077,0.897225077,0.897225077
UF0949,0.897225077,0.897225077,0.897225077,0.84806867,0.84806867,0.84806867,0.897225077,0.897225077,0.897225077,0.897225077,0.897225077,0.897225077
UF0953,0.897225077,0.897225077,0.897225077,0.84806867,0.84806867,0.84806867,0.897225077,0.897225077,0.897225077,0.897225077,0.897225077,0.897225077
