x,UF0925,UF0915,UF0870,UF3081,UF3067,UF3068,UF0906,UF5715,UF1036,UF0954,UF0949,UF0953
UF0925,1,0.56,0.56,0.02,0.02,0.02,0.37,0.29,0.22,0.37,0.37,0.37
UF0915,0.56,1,0.91,0.02,0.02,0.02,0.37,0.29,0.22,0.37,0.37,0.37
UF0870,0.56,0.91,1,0.1,0.1,0.1,0.56,0.46,0.37,0.56,0.56,0.56
UF3081,0.02,0.02,0.1,1,0.06,0.06,0.1,0.04,0.02,0.02,0.02,0.02
UF3067,0.02,0.02,0.1,0.06,1,0.96,0.1,0.04,0.02,0.02,0.02,0.02
UF3068,0.02,0.02,0.1,0.06,0.96,1,0.1,0.04,0.02,0.02,0.02,0.02
UF0906,0.37,0.37,0.56,0.1,0.1,0.1,1,0.66,0.56,0.37,0.37,0.37
UF5715,0.29,0.29,0.46,0.04,0.04,0.04,0.66,1,0.66,0.29,0.29,0.29
UF1036,0.22,0.22,0.37,0.02,0.02,0.02,0.56,0.66,1,0.22,0.22,0.22
UF0954,0.37,0.37,0.56,0.02,0.02,0.02,0.37,0.29,0.22,1,0.56,0.78
UF0949,0.37,0.37,0.56,0.02,0.02,0.02,0.37,0.29,0.22,0.56,1,0.56
UF0953,0.37,0.37,0.56,0.02,0.02,0.02,0.37,0.29,0.22,0.78,0.56,1
