x,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10
I_1,1,0.98,0.9,0.92,0.9,0.92,0.93,0.91,0.93,0.92
I_2,0.98,1,0.92,0.92,0.9,0.92,0.91,0.91,0.91,0.92
I_3,0.9,0.92,1,0.95,0.93,0.88,0.9,0.91,0.9,0.91
I_4,0.92,0.92,0.95,1,0.95,0.9,0.92,0.92,0.92,0.93
I_5,0.9,0.9,0.93,0.95,1,0.92,0.9,0.9,0.9,0.91
I_6,0.92,0.92,0.88,0.9,0.92,1,0.89,0.9,0.89,0.9
I_7,0.93,0.91,0.9,0.92,0.9,0.89,1,0.95,0.93,0.92
I_8,0.91,0.91,0.91,0.92,0.9,0.9,0.95,1,0.91,0.92
I_9,0.93,0.91,0.9,0.92,0.9,0.89,0.93,0.91,1,0.99
I_10,0.92,0.92,0.91,0.93,0.91,0.9,0.92,0.92,0.99,1
