x,1.2.276.0.26.1.1.1.2.2021.113.69666.1469937.24903681,1.2.276.0.26.1.1.1.2.2021.113.69666.5960123.24903681,1.2.276.0.26.1.1.1.2.2021.100.52112.6905744.24903681,1.2.276.0.26.1.1.1.2.2021.100.52112.769958.24903681,1.2.276.0.26.1.1.1.2.2021.100.52112.8306444.24903681,1.2.276.0.26.1.1.1.2.2021.87.70870.6905744.24903681,1.2.276.0.26.1.1.1.2.2021.81.43009.6905744.24903681,1.2.276.0.26.1.1.1.2.2021.81.43009.769958.24903681,1.2.276.0.26.1.1.1.2.2020.394.64616.7044861.24903681,1.2.276.0.26.1.1.1.2.2020.394.64616.7233492.24903681
1.2.276.0.26.1.1.1.2.2021.113.69666.1469937.24903681,1,0.98,0.9,0.92,0.9,0.92,0.93,0.91,0.93,0.92
1.2.276.0.26.1.1.1.2.2021.113.69666.5960123.24903681,0.98,1,0.92,0.92,0.9,0.92,0.91,0.91,0.91,0.92
1.2.276.0.26.1.1.1.2.2021.100.52112.6905744.24903681,0.9,0.92,1,0.95,0.93,0.88,0.9,0.91,0.9,0.91
1.2.276.0.26.1.1.1.2.2021.100.52112.769958.24903681,0.92,0.92,0.95,1,0.95,0.9,0.92,0.92,0.92,0.93
1.2.276.0.26.1.1.1.2.2021.100.52112.8306444.24903681,0.9,0.9,0.93,0.95,1,0.92,0.9,0.9,0.9,0.91
1.2.276.0.26.1.1.1.2.2021.87.70870.6905744.24903681,0.92,0.92,0.88,0.9,0.92,1,0.89,0.9,0.89,0.9
1.2.276.0.26.1.1.1.2.2021.81.43009.6905744.24903681,0.93,0.91,0.9,0.92,0.9,0.89,1,0.95,0.93,0.92
1.2.276.0.26.1.1.1.2.2021.81.43009.769958.24903681,0.91,0.91,0.91,0.92,0.9,0.9,0.95,1,0.91,0.92
1.2.276.0.26.1.1.1.2.2020.394.64616.7044861.24903681,0.93,0.91,0.9,0.92,0.9,0.89,0.93,0.91,1,0.99
1.2.276.0.26.1.1.1.2.2020.394.64616.7233492.24903681,0.92,0.92,0.91,0.93,0.91,0.9,0.92,0.92,0.99,1
